First,Final
75.95,74.38
83.13,81.88
52.6,56.5
70.4,71.25
62.88,57.63
67.18,67.13
70.68,72.63
55.03,45.88
66.35,61.63
68.93,70.13
60.2,69.75
63.4,60.13
62.03,58.67
62.03,58.67
62.88,58.25
71.48,65.38
64.83,66.75
64.7,66.88
62.43,56.75
61.45,60.38
60.9,58.63
71,75.46
73.1,75.54
67.75,70.88
55.73,60
60.75,64.38
68.25,65.83
70.53,70.13
64.45,69.5
70.98,71.88
60.55,58.75
54.38,60.63
68.98,66
68.2,60.5
57.9,63.25
57.53,52.75
76.1,74.75
58.35,57.75
66.75,66.75
48.78,45.63
48.78,45.63
67.7,66.25
55.35,55
68.2,66
66.48,68.38
63.25,63
59.55,57.13
62.6,66.88
52.73,45.38
59.73,62.63
65.5,65.83
72.25,68.13
69,63
73.95,75.5
63.05,61.13
57.1,56.25
66.98,70.38
62.75,63.25
64.25,61.88
68.93,67.63
65.7,64.08
69.65,70.5
64.85,69
61.5,59.63
66.73,69
46.48,54.13
46.48,54.13
65.45,64.75
65.45,64.75
62.68,62.88
63.9,68.25
65.1,66.5
57.83,60.13
63.88,67.38
78.1,70.5
51.3,49.25
51.3,49.25
62.83,58.75
58.75,57
47.9,54.13
57.08,55.25
44.4,50.13
44.4,50.13
49.88,53.38
58.48,59.25
58.48,59.25
58.48,59.25
47.2,64.5
47.2,64.5
52.68,54.25
51.95,61
64.25,54.75
59.8,48.75
72.2,72.63
55.8,54.25
66.45,61.5
68.08,65.75
60.6,61
66,71.63
64.7,61.88
61.38,59.25
62.58,56
62.58,56
65.45,62.88
59.78,55.13
61.23,57.13
76,74.25
54.28,57.38
67.8,63.13
67.83,67.21
61.98,60
71.55,65.25
54.35,53.38
63.8,57.25
67.83,67.38
64.95,64.13
64.95,64.13
66.48,62.13
66.48,62.13
66.25,64.38
60.95,62.63
64.3,64.63
68.15,66.75
56.43,64.5
66.48,66.75
68.38,70.13
69.48,64.88
72.93,75.63
65.23,63
67.38,66.29
75.38,68.63
59.55,57.63
66.05,62.13
66.05,62.13
63.25,66.5
70.7,53.5
72.95,72.42
67.73,69.38
51.08,47.5
51.08,47.5
62.23,57.25
82.33,70
64.5,64.25
66.68,62.63
76.65,73.58
63.68,65.63
63.68,65.63
73.3,67.21
56.4,51.63
51.95,51.25
64.4,57.5
71.53,70.63
61.13,60.13
59.53,60.58
69.8,61.04
66.18,59
69,66.63
66.38,62.25
68.68,69.63
70.08,64.5
60.55,60.5
83.65,73.5
57.2,67.13
59.63,60.13
66.13,63.38
55.03,53.13
63.45,62.38
72.4,69.33
73.9,73.04
64.53,59.5
75.78,75
66.85,59.88
65.78,68.63
63.85,62
54.48,52
68.83,60.5
62.68,59.13
62.83,58.75
64.28,59.75
66.08,65.13
61.68,57.25
67.83,66.5
63.45,53.13
71.1,71.75
65.95,69
62.53,63.25
71.68,67.88
63.3,51.63
64.78,66.25
56.98,58.25
57.3,51.25
64.1,61.5
62.28,64.88
67.88,57.75
67.93,63.75
61.03,61.88
71.75,62.88
66.25,66
65.63,64.63
69.6,66.25
67.88,67.13
63.45,68.75
67.13,63.88
66.95,64
62.43,66.13
62.43,66.13
71.58,70.92
59.98,54.13
61.68,57.63
62.08,56
73.3,60.92
57.53,58
63.75,64.38
64.5,61.13
62.28,63.5
57.93,59.5
72.75,68.88
67.63,66.13
68.65,64.25
68.73,65.25
65.98,63.25
70.65,67
67.63,64.38
66.28,63.88
61.98,58.5
69.25,67.13
65.45,61.75
58.48,57.38
67.25,65.63
57.53,57.75
73.63,68.42
50.85,48.25
49.2,48.88
49.2,48.88
57.75,63.5
64.75,59.63
68.25,63.38
68.6,65.13
68.25,69.25
68.28,61.25
70.05,69.38
59.9,52.88
62.7,54
66.38,64.75
58.23,65.25
65.63,64
52.43,51.5
49.55,51
60.03,62.13
65.2,68.25
66.25,62.13
61.98,55.88
68.18,54.88
61.2,54.5
69.5,66.5
62.15,61.38
58.75,57.63
69.55,71.13
76.98,72.25
70.33,65.63
68.2,64.13
62.53,62.63
72.25,68.5
72.95,68.75
62.68,62.25
48.35,50.63
48.35,50.63
57.73,61.88
64.78,63.63
64.78,63.63
64.95,61.5
62.68,51.63
71.68,68.79
54.25,53.38
65.05,61.13
67.63,67.5
65.65,60.38
65,65.25
65.73,63.75
59.88,52.88
61.53,60.25
67.3,66.04
58.03,64
62.93,61.13
72.65,71.13
58.75,56.75
66.48,62.38
61.65,62.13
72.5,63
59.95,62.79
56.68,57.63
58.9,54.38
57.7,50.75
57.7,50.75
70.65,67.38
57.88,61.88
63.23,69.13
55.5,56.75
52.7,48.5
52.7,48.5
63.23,60
67.28,63.5
65.83,58.63
61.15,62.5
62.68,63.5
73.7,58.13
65.08,59.25
54.63,48.13
65.48,63.13
67.78,60.5
63,58.63
59.45,60.5
59.45,60.5
60.35,59.88
64.63,60.63
57.35,50.5
63.33,62.63
62.85,57.88
51.55,48.5
61.6,61.63
55.75,55.25
57.25,46
57.25,46
61.1,63.88
57.88,62
61.33,53.63
61.33,53.63
60.63,52.88
65.53,61.13
65.83,65
60.23,56.75
68.95,60.5
60.25,58
67.53,56.88
69.95,63.13
58.9,53
69.93,63.58
65.93,61
65.88,62.63
67,59.5
51.15,57.75
57.65,47.25
61.48,65
59.98,57.25
55.43,54.13
60.78,57.88
60.78,57.88
65.8,60.63
65.73,62.25
52.75,49.13
63.2,58.63
64.35,61.25
60.88,56.38
57.78,52.5
62.08,59.13
70.7,62.25
61.13,63.38
64.93,55
64.98,56.63
65.5,59.63
57.75,58.63
63.25,67.13
65.8,69.38
58.08,53.5
60.48,55.38
63.3,62.75
66.2,62
61.98,61.25
58.68,60.88
68.7,58.5
58.38,52.38
65.18,64
57.53,52.5
67.38,60.88
69.53,65.88
66.43,64
58.08,57
51.25,45.25
62.95,60.75
63.25,59.5
63.95,68.5
55.63,65.13
63.48,60.13
60.63,61.13
66.3,59.38
66,69.75
65.18,63.38
56.88,54.38
67.4,61.88
74.28,66.79
64.5,62.5
63.2,56
58.13,58.63
62.35,53.88
65.15,58
67.75,62.5
65.05,62.5
61.68,59.75
66.78,65.46
68.5,66.13
67.23,65
56.9,55.63
59.3,55.5
49.9,57
63.03,57.88
77.13,72
77.13,72
66.2,66.63
59.28,59.38
58.6,59.25
58.6,59.25
65.45,57.88
61.58,67.25
56.15,57.63
57.8,52.13
69.4,67.17
60.98,60.13
63.6,60.5
63.2,67
60.9,51.25
63.23,57.38
62,59.63
67.23,62
62.75,57
53.68,51.63
58.88,51
69.25,61.75
43.23,45.75
43.23,45.75
57.65,50.5
60.35,59.13
58.3,59.88
66.25,59.38
55.63,56.88
55.63,56.88
68.6,66
66.53,65.75
60.15,53.13
55.95,52.13
64.3,58
60.03,55.38
60.05,57
59.25,60.13
61,60
62.6,55.13
65.95,59.75
60.53,63.25
64.1,60.13
61.7,59.88
64.3,61
63.53,62.75
60.48,57.25
62.55,52
62.55,52
61.18,51.88
55.43,55.75
70.73,69.42
60.4,57.38
66.63,62.63
61.3,58.5
64.9,61.13
